review,emotion_label
Fantastic service and products. Thank you.,0
I love this phone case and I know my son will too.It is a gift for him.It arrived very fast!Thank you!!,0
Order for my Hubby he loves it��������� fit just right on him soft materials and the tanks are perfect for summer. Thank You will order more��,0
The quality of the fabric and print applied were excellent.Exactly as I was hoping.Thank you.,0
A little disappointed with the quality of this shirt. Material was quite thin and graphics look worn already. Too expensive for what it was,3
The onesie arrived this week and it looks like the correct one and good quality.I am satisfied with this purchase.Thank you,0
The only site that had the tuba patent design. Thanks. *****,0
Thank you tee public and the artist who made my shirt I love it !!! Will be ordering again,0
I am very pleased with the quality of the products which I ordered. Thank you for providing a great product.,0
Have not received all of my order and contact information to this company doesnt work.Got a response from this review and resending my order. Thank you.,0
Irecentlyreceived myDonna summer shirtIabsolutely love it though it'sabitpriceyI'dgladlybuyfrom you in the future thanks again,0
"Easy to order, true to size, nice soft tee shirts. Sent free thank you stickers! Happy with our order.",0
Excellent t shirt. Thanks,0
"Thank you so much I love it!!!! Came in great condition, fast shipping, and as described.",0
Received my package before Christmas so I was happy.I sent an email because I couldn���������t track the package.I received a response right away.The person was very nice.Ev,1
Itruly lovemy new shirt. It fits perfectly fine and it is made very well. The message on the front is perfect.iwiil definitely get more shirts from this company if they come up withmore outlander slogans. The price is very reasonable. Thank you. I am now off to find the circle of stones.,0
"My first order was flawless. However, my second order was not. My order was split into two separate shipments which was an additional charge that I didn't know about until my order was complete and I saw the price difference. Then I got my shirts and one of them was less than stellar. It looked like it had been washed several times before sent out and that was disappointing. The print wasn't clear. Overall, the shipping was fast and I got all of my items. So, I'm willing to purchase again because I like the various designs.",3
"I had a sizing problem with my order. Eliza, your representative, was extremely helpful and made my order correct.This was done so quickly that I have to give a giant Shout-Out of ""Hurray!"" for TeePublic and it's reps!!I will be doing more business with your organization.Thank-you, John Carman",0
"I had ordered a shirt to wear to a concert.When it arrived it was extremely small, and a big thread was hanging out of arm seam.I wrote Tee Public,right away I was offered a replacement.when I explained my concert was the following week they expedited my order.I had it in time, along with many compliments.thank you for your wonderful customer service!",0
"I recently had a complaint about 2 hoodies I ordered with faded print . I reached out to customer service and they helped me every step of the way to fix my problem. I was met with an email everyday by a different person from customer service , Jon , Sandy and Ingrid . Might be a couple more I���������m missing . Thank you to the whole time communicating with me swiftly and with so much compassion and empathy toward me . I will continue to purchase orders for Teepublic and support all of the great independent artist . Thanks again . Awsome way above averagecustomer service team����������",0
Awesome !! Thank you so much for all your help. Excellent communication.Thank you,0
Ordered the tshirt for my son. He loves it! Fits good & seems to be made well. Thanks!,0
"I had to comment on the customer satisfaction survey because I'm a satisfied customer. Ordering was easy, I was promptly notified of both my order confirmation and my shipping / delivery status and all items arrived in a timely manner. And the items received are quality merchandise. I thank you, Tee Public.",0
Nice selection of t - shirts and the price is great bought 3 thanks cb,0
Fast shipping and great t-shirt design. The fitting was perfect!!! Thank you.,0
"Blotchy art on the shirt. There are white specks all over the designs. WOW. Very frustrating. The art on the website looks sharp, but the shirts look like the ink on the printer was running out.",5
"Cool shirt! It was exactly what I thought I was ordering. The process was smooth and fun too. I liked knowing some of my money went to a small business artisan, rather than all to a big megacorp.",1
We love the tee shirts and thank you!The xl woman's shirt is very small though.It fits me like a size medium would.I really would have like it to be extra large!!,0
"I ordered matching shirts for myself and my best friend who is 900 miles away. I received my shirt and my friend initially did not, which was disappointing and upsetting. When I reached out for help, I received a speedy, personal reply. The staff were able to correct the issue and my friend received her shirt within the week!",3
The shirt fit very well the material is comfortable I will order again maybe in a different color maybe something different and very happy,1
Awesome tee. Arrived quickly. Thank you.,0
The design was great.I gave it to a sick person and to see her face light up was wonderful.Thank you so much,0
The shirts I received were made beautifully thank you,0
"Sent PORT CLINTON, OH long sleeved, dark green T-shirt to my long lost cousin who lived there as a kid! He loved it! Thanks for creating it!",0
Very pleased thank tou,0
The shirt I ordered was in stock and shipped very promptly.Thanks!,0
Item just as described. Thank you for making speedy deliveries during this ongoing pandemic.,0
"Didn���������t really like the shirts , they look very very cheap .. no",4
It was so easy to order..Such prompt responses.Everything was as perfect when I received it in person.It didn���������t take forever to receive!Thank y,0
"So happy with my shirt, definitely going to order more.",1
The shirt came quickly and it is my son's new fave shirt. He receives compliments wherever we go. Thank you!,0
"When I received the t-shirts I was appalled at the comment on them that said ""The man who killed Don Quixote"" thinking I bought a simple ""Don Quixote"" t-shirt.....""I"" made the mistake when I checked your website but since I am a ""Don Quixote"" lover I'm disappointed....I know it's not your fault but do you know where I can get plain ""Don Quixote"" t-shirts.......?-GB",3
"My husband loved his gifted t-shirts, and I had a great shopping experience. Thank you!",0
"Great quality shirts, thank you!",0
"Tee shirt was a little snug for the sizing.Contacted the Customer Service department and they took care of the issue in yeoman's fashion.Great folks to do business with, thank you.",0
Material is great. The printing of the shirt was amazing so thank you so much. It actually came in just in time since it was a gift for someone.,0
We love our Wings of Fire shirts that we ordered from TeePublic.The sizes were as expected and the colors and the art were just what we wanted.They also arrived in a reasonable amount of time.Thanks!,0
I like the shirt. Thought the colors might have been brighter. In the add on the web page they look brighter.But I am very happy with it. Thank you,0
"Happy with shirts, shirts fit and feel good.",1
"Perfect and fast delivery, twice!Next order will come soon. Thanks a lot����",0
The mask was made way too small for a gown man. One extra inch of elastic would have done wonders.They barely fit my kids ears.Nice print though...Overall pretty disappointed.Jeff from Vt,3
Sadly my t-shirt was too small. I received a quick response from your customer service rep. A larger shirt is on its way to me with minimum hassle. Wonderful experience! Thanks to all!,0
Products exactly as shown and made expertly. Would definitely recommended and buy again.,6
"love the shirt it was just the one I was looking for at a great price, will for sure do more business.Thank You S Valenzuela",0
"Excellent, soft T-shirt that looks exactly like the picture!Very happy!",1
"Excellent t shirts, I am very happy with my order, thank you.",0
Thank you so much.Bought as Xmas gift for my boyfriend very nice quality.,0
It was what i expected the shirt would look like.It is execellent quality work and i look forward too wearing it thank you.,0
My granddaughter loves the tshirt. Thank you.,0
"My product was delivered in a reasonable amount of time, carefully packaged, arrive in perfect condition, and exactly as pictured/expected. Perfect transaction. Thanks!",0
"The item arrived sooner than expected, thank you.",0
I never received my t shirt even though I was notified that it had been delivered.I would appreciate a full refund.,0
Very pleased with purchases. I wish the images were bigger and covered more of the shirts.I love my Speed Racer stickers. There is ink spots on my Psalms 91 shirt. Is there a way I could get another shirt? Otherwise I am pleased with my purchases. I love your 5X Shirts. Thank you for your service and products.,0
Every shirt that I purchased shrunk beyond anything I have ever seen after washing in cold water.The size charts are not true to size.I bought roughly 12 shirts as gifts and they cannot be worn as they don���������t fit.Very disappointing and will no,3
"Hi!Our order of seven t shirts went very well! Our son loved to pick out the cool graphics, and color of shirts. The quality is excellent, and customer service is always great as well. He also likes supporting artists! We definitely recommend this company. Thank you!",0
"All the t-shirts are terrific, and from 4 different artists.Thank you for standing by your excellent team of artisans. This was a second order and there will be more.",0
Thank you so much for the fast services and quality merchandise.,0
Thanks teepublic I choose Monarca designs love the quality of the shirt very soft and right to the size.,0
Provided Quick Delivery and Great Sweatshirts!! Thanks!!!,0
I was so happy to get my buttons just a few days after ordering! I���������ve gotten some favorable comments and I recommend that they ord,1
My grandson was very happy!,1
Loved it thank you very much fits perfectly,0
the product was great and the service was even better thanks a lot,0
"Product was supposed to arrive with plenty of time before Christmas. Never arrived, they resent and the shirts that came although great design, both shirts said Kelly Green and they were two different colors. Highly disappointed as they look so different you cannot say they are matching.",3
"Usually, orders take a really long time to get them finished & on their way. This time, that was not the case! Thank you for your prompt service!",0
"I bought this hoodie for my 8 year old cousin's birthday and I am disappointed in the outcome. For one it took quite awhile to come in, the material is very thin and too expensive for the quality that I paid for... The design itself looks like it's just randomly place on the shirt. I expected awesome and good quality products, however I would never buy from this website again.",3
Great quality and fit perfect. The art not to mention it's stratospheric ;) Also the shipping was fast. Thanks!,0
I absolutely loved my shirt !!!! Thank you so much,0
My order was delivered in a timely manner and the size suggestion was right on.Thank you!,0
I purchased this the shirt for my daughter and she loves it. Thank you again!!,0
Order received quickly and the work done was beautiful. Thanks.,0
"I would like to thank everyone for understanding and help, I appreciate everything. I received the shirt today and my granddaughter is going to love it. Thanks Linda",0
"I was very pleased with the product! The turn around was slower than we would like.Overall will use you again,Thank you!",0
Thanks for the fast shipping.Quality of the shirts was very good.Will purchase more in the future.Thanks again.,0
Thank you!!! So much love the T-shirts!!,0
"I ordered a novelty t-shirt for my husband for father's day. While it didn't arrive in time (not Tee Public's fault), it was still a hit. Really soft material, fit well and the design was perfect.Thanks Tee Public!!",0
Hello this is Glenn Jones and I'm pleased to say that I got my shirt and now I'm waiting for my tote bag and my subway shirt. you have done a remarkable job on my shirt and I am just so pleased and I thank you so very much.,0
HEY YOU GUYS! Again thank you this is going to be the perfect gift. The day they do decide to open it will more than likely be great lol,0
"Exactly what I ordered, delivered fast as well.",6
Amazing shirts and thank you for carrying large sizes,0
Too small. We can't use it,4
Great choices and great products. I do hope that you as a company work to protect the artist and their original work. Thanks!,0
Thank you. Excellent product,0
"Customer service is excellent.The post office misplaced my order.I asked Tee Public if they could help out, they did at no charge! I got my order in time for Christmas. The tee shirt designswere great.Thanks so much. I will be ordering again.",0
"Awesome selection, great quality and prompt shipment.I've ordered several times and been pleased each time.Thanks TeePublic!",0
Size is correct which is rare for XXXL sizes. True colors,6
"Great experience, first time I've actually had my products delivered on time and everything they said all the way down to the tracking was honest and true. I will be going through this company for everything that I require, that they have to distribute. Thanks Tee Public!! ����",0
We got the shirt on time and the quality is great.Keep up and good luck. Thank you,0
Very happy customer of TeePublic,1
I was happy with the quality of the shirts ordered.A size problem with one of the shirts was also handled promptly.,1
Way beyond excellent customer service I will always use your fine company in the future Thank you,0
"Shirt looks very good, just like past orders. Great place to get personal customized gifts. Service was very quick also. Thanks Tee Public.",0
"I enjoy the designs and items offered. However, shipping is slow and expensive. Not worth the higher price and longer wait.",1
Very nice looking shirt.Thank you.,0
"Size small is like Extra small! $6.99 slow shipping, it took 8 days before i got my shirt. 3 stars for the cute plastic packaging. Thank you.",0
I received my long-sleeved t-shirt from TeePublic the other day & it's wonderful!! The shirt itself fits well & of good quality! The design I chose came out well- vibrant colors & centered perfectly. I hope to get many hours of wear in it & it washed well!!Thank you for all the designs you offer- I knew which one I wanted as soon as I saw it! Thank you so very much for being out there for me!! Happy New Year,0
Anime lover and Manga lover my brother is so I wanted to look for a few shirts and found this awesome site I'm glad I'm able to help out a artist out there! It was for a birthday and my brother loved the shirts he wears them almost everyday thank you for the happiness and joy you brought upon my brother anime and manga shirts are the best! I will comeback and purchase some for me!,0
"Order came fast, quality is great.Thank you !",0
"IThe t-shirt is exactly as described. Material is of good quality, and the sizing is correct. Reasonable price",6
"You sent me my package on time after USPS sent me a text wanting my card information for $.09 and sending me into panic mode, again thank you for you tracking system, Iwish USPS could have better service. Again I do apologize. Your product is great. It would have been nice to talk to someone on the phone. Thank you.",0
"I purchased a shirt as a gift for a friend.Upon receiving it I open the package to look at the shirt, the shirt was super soft the image on the T-shirt was fantastic!I will definitely make purchases in the future.Thank you for a job well done!",0
"Great price, great quality, shipping was quick, and the subject of my shirts was a great find for a great price. Will definitely be ordering from you again. Thank you!",0
To whom it may concern:I received the wrong mask. I've since submitted a service request & I'm hoping to received the correct mask. Thank you.,0
Perfect! Thank you so very much! They even arrived before Christmas!,0
"Design printing came severely flawed with portions of the print missing. If TeePublic was doing business in a store, this shirt would have never passed inspection. I contacted TeePublic with a photo for a resolution. I was offered a remake but 10 days later there is still no delivery date for this Christmas party shirt. I was very disappointed due to the cost and poor quality and customer service. I will not do business and do not recommend this business.",3
Thank you TeePublic. I made a mistakeon my order and it was fixed no problem.,0
Exactly what i ordered! Couldn't be happier! This is a Christmas gift that I know my mom will love. Thank you so much!!!,0
Well I was going to cancel my order because I hadn't received it after trying to track it from UPS to my post office and neither had my order after days of tracking I took a chance and contacted your help center to get a refund and explained my problem to Alex and he was very helpful and kind after he said he would give me a refund and also let me know he could put in a reorder and ship it through a different company if I wanted. I agreed to do that because after all it was a Christmas gift and TeePublic was the only place I found them. I now can wrap them up and put them under the tree.Thanks to Alex and TeePublic for all their help. I think Alex should get a raise for going above and beyond to help this old woman have a great Christmas. Thanks again.,0
Love it! Finally found a Zuko shirt my son's size. Thank you for doing toddler sizes! My son is obsessed with Firelord Zuko but I could not find anything for a 4 yr old.,0
Merry Christmas.I would like to thank you all for going the extra mile in providing me with good customer service.Remember Idon't mind paying for quality and good service.,0
The shirt was better then expected and the shipping was also quicker than expected I am very happy with the shirt,1
Absolutely loved the poster and t shirt!! Just what I wanted. Thank you for your good work�����������,0
Too small. Not accurate sizing.,4
Thank you so much. The tees fit perfectly and delivery was excellent.,0
I got my order and it was what I expected.Thank you.,0
Everything is perfect! Thank you!,0
"I purchased 4 shirts for an upcoming trip to Disney.Love the designs, but the execution and final product need some work.Depending on the shirt, mediums and larges typically fit me.The 4 that I purchased were a size large based on the sizing chart that had a picture of someone of similar size and build to me.Well, that's way off.One of the 4 shirts fit like the sizing chart indicates and all 4 fit differently and appear to be different lengths.Two of the shirts are the length of XL.Both of those also have printing issues.One has visible vertical lines across the image.The other has a very faded, almost blurry image while the picture on line shows a sharp and crisp image.So one of the shirts fits great, one is ok, and two are terrible.This purchase was disappointing to say the least.",3
"I ordered 2 Tee's. One for myself and 1 for my husband. The shipping was kinda of slow( I was aware that it would be). When the shirts arrived we both love them. Perfect in every way. The fit, the art, the material. I would not change a thing. I was kinda of wary of ordering because I have ordered from other places where the sizes are wonky. These are perfect. Thank you",0
The design of Banjo & Kazooie is amazing and spot on for a Smash Bros. setup. I love everything about this. Thank you so much.,0
"We like the hoodie and are, overall, happy with the product. I was disappointed with the transfer of the art to the material. The lack of definition is disappointing because you cannot read the text which makes up the art. Without being able to read the text, the true power and impact of the art is lost.",3
Love it! Thank you!,0
"Items arrived sooner than offered, quality of materials are great, stickers amazing too, highly recommended. Thanks for a great delivery, thanks!",0
"Very disappointed. The art work is good, however the print is significantly smaller than what was advertised, I would say by 50 percent at least. ALSO I ordered a men's medium and it's the size of an extra small, which barely fits and makes the print seem even smaller",3
My son loves his shirt! He had the biggest smile on his face all day! Thanks!,0
"Thank you so much! I love your t shirts, very good quality and you can always find what you are looking for and then some.",0
Order arrived very quickly and communicated very well with tracking info. First time ordering and wasnt sure what to expect but very happy!,1
"Replaced item, no questions asked. Thanks!",0
It doesn't look like the picture on the web sight.,4
Fabulous service! Loved my tee & the speedy service too! Many thanks & would highly recommend ����,0
the shirts wre nice! thanks so much!,0
I love my t-shirt! The fit is perfect. The colors of the print are vibrant. The print and shirt are both good quality. I am one satisfied customer! Thanks!,0
These t-shirts have allowed me to go back in time and remember happy times. And I���������m able to share those memor,1
Items came as ordered. Very happy with my purchases.,1
Very happy with product. When I inquired why it was taking so long I was refunded the shipping.,1
"Love my latest purchase. Waited a little bit for it to ship, but totally understand with whats going on right now. Thank you!",0
T shirt is extremely small and under sized. The print on it isn���������t the best quality either. N,4
Excellent customer service!I accidentally ordered the wrong size for an item that was a gift.I was prepared to pay for the new item.They replaced the product without question.I so appreciated it!Thanks!,0
Item was just as described and fast shipment. My husband will LOVE this shirt. Thank you and Merry Christmas.,0
Nice job...I have looked for a very specific unique Stoic quote...Your site finished my quest....Thank you !!,0
"They dropped the ball on my initial order but made it up to me by getting it to me by Christmas Eve - thanks Teepublic customer service! As always, the shirts are great and a big hit in my family. Will definitely order again.",0
Absolutely amazing service! I ordered the wrong size. Easy to contact and understood my problem and fixed right away. Will be ordering from them again for sure!! Thank you!!,0
WHAT I RECEIVED WHAT NOT WHAT I ORDERED.I ORDERED FESTIVUS FOR THE REST OF US AND GOT HAPPY FESTIVUS.THE PRINTING WAS AWFUL AND THE QUALITY OF THE TEE SHIRT WAS JUNK. THANKS FOR NOTHING,0
Absolutely love the shirts ordered for my 12 year old. They have been washed a few times so far and the graphics still look brand new. Thank you!,0
"The logos are great but one was on crooked and the quality of the tee shirts is disappointing. The fabric is very cheap looking, thin and the black is faded and makes the shirts look old.",3
Great quality t shirt and print thank you,0
Shirt is awesome and came timely and pricing is fair and perfect! Will be ordering again! Thanks a bunch,0
Shirt exactly as described- received it one day early. Very pleased. Thank you!,0
"my daughter LOVED the sweatshirt! great quality, design, and she said it felt super soft inside. thank you!",0
Sizing not accurate. I ordered women���������s L and it would likely only fit a,4
"Fast, clear impressions, sizes are true...I�������",6
"Was pleased with my order,my sister ad I wore them Sunday celebrating our Mother,s 97th birthday. The shirts were a hit. Will be shopping with you soon.It does not always happen so good!! Thanks",0
"I'm an 82 year old semi-retiree. I ordered my t-shirt ""I love the skin I'm in,"" and I've gotten several compliments. I wore it to work (I teach English to teenage boys in detention) and all of them loved the shirt. I'm on summer break now but I'm gonna order a couple more in different colors.Thanks for making my day!",0
"Bought tee shirt for a birthday gift for my 16-year old son; delivered as promised, fut and design were as expected. Well done and great way to support artists. Thank you!",0
"I am always a bit hesitant to order things online, especially clothes. I just received my order (6 days after ordering) and both the t-shirt and the sticker are awesome. So thanks, TeePublic, you have eased my mind with your awesome products and fast delivery!Cheers,Sonya",0
I went by yourchart and they fitperfect very happy,1
All expectations were met. Timely delivery. Everyone is happy!,1
I found exactly what I was looking for. Super easy transaction with the super fast shipping to match. Very pleased. Thank you.,0
"THANK YOU for allowing my order to be switch for bigger sizes and shipping to my Daughters house while I travel. They 5 t-shirts are Gifts and I know they are going to LOVE them. Getting ready for the Holiday season. I SUPPORT ARTIST, like my two daughters Hairstylist & Tattoo.",0
Very happy with t-shirt,1
"I was disappointed in the quality of the initial shipment I received from TeePublic and wrote them to convey my feelings regarding the fabric of both the tee shirts I purchased.Like all great companies do, they took care of me and sent out two new shirts.I received them yesterday and the quality of the graphics and the fabric was just incredible.Every business has a hick-up occasionally but I base my loyalty on how a companytakes care of its mistakes.I will be ordering in the future just like I have over the years.Thanks TeePublic for taking such good care of Me and my family.",0
Everything was awesome.Thanks for agreat product and great customer service as well.I will be back!!,0
"I love love LOVE these shirts! The prints are a good quality and so is the material, there's a huge variety so it's safe to assume you'll definitely find something to add to your wardrobe. The size suggestion for Womens fit shirts was MUCH appreciated. I normally wear a Medium, but I ordered a Large and they were a perfect fit. Thank you!!",0
Received my shirts just in time for the holidays. Thank you,0
First time user! Was extremely happy with my purchases and timely fashion of deliveries. Will be using website again. Thank you,0
Thank you so much. My daughter loved it.,0
I am very pleased with the fast delivery. The quality of all the products is great. Thank you so much!,0
"Thank you, love the items I purchased.",0
Very happy with whole experience. Nice t-shirt. Thanks,0
Thank you for your much appreciated service!,0
handled returns efficiently.thank you,0
Great product and attentive service.Thank you!,0
"Just received both TShirts, and they look and feel wonderful.Looking forward to purchasing more items in the future.Thank you.",0
Excellent is the best way to describe our purchases. Shipment was much quicker than expected and the shirts are perfect. Thank you!,0
thank you.great tee shirts,0
Awesome Hoodie! Thank you,0
"Just as pictured, timely delivery, and great price! Thanks",0
First time to use this site. The quaility and price are awesome. They use the good blended cotton TShirts. Thanks!,0
The shirt was a gift for my son and he loved it!Thank you,0
My nephews loved their shirts so didn���������t really bother me that it took forever for the shirts to arrive due to covid-19 thank,0
Well first off i ordered a t-shirt for my gender reveal party and my order got lost in the system some how and till this day I haven���������t received that t-shirt so that was a really bad experience. But they did try to make it right by me choosing a different t-shirt and design they shipped it and now this one I did receive but the t-shirt that really mattered is out and about still I won���������t be needing it anymore since I had to wear a plain shir,3
The sweater is perfect size is perfect all around great product thank you,0
"You have good prices,good items,and good deals I have had good shopping experience and my items have always arrived on time I will recommend this website to others thank you for everything",0
"The designs are great and exactly what I ordered. However, I have a bigger face and they don't fit properly. I understand this has nothing to do with how the products are made. Just slightly disappointed is all",3
"Absolutely love, love, LOVE the two t-shirt���������s I ordered. Perfect size and fit thanks to the chart on the website. And the designs!!! I���������m wearing these to NYC for my 60th birthday and couldn�����",0
Arrived as described Fast deliveryWould use this company again!Thanks,0
I picked out a Christmas tshirt for each member of my family. The shirts are great quality and look just like they do on your website. I am very happy with this purchase.,1
Sweatshirt was excellent quality. Great customer service. Thanks!,0
Speedy. Beautiful design!! Thanks,0
I ordered a large t shirt what I got was an extra small. Very disappointing..,3
I absolutely love my shirt I got it fits great and the material is soft and comfy the graphic are spot on ..thank you,0
"I ordered a John Mayer shirt for my son, and he immediately put it on and wore it for two days. The shirt looks great and is super soft. Thank you!",0
"great products, great service, great price. thanks, bob",0
The process was very fast and informative. I���������m extremely happy with the quality of the t-shirt. It looks,1
Happy with the product. Design is unique. Four vs 5 stars because the tee wasn���������t in a poly bag although order had several ite,1
Very happy with tshirt. Lightweight cotton with vivid design. Suggest purchase your normal size.,1
"Really love the variety of designs, colors and sizes!! Thank you for having so many shirts from what I love most!!",0
I ordered a t-shirt on December 13 hoping to get it for Christmas. Printing and shipping were done quickly and I received the shirt on December 21.Very happy with service and quality of t-shirt.,1
One shirt was not the correct size. Not satisfied.,4
I ordered a tshirt and it was a bit to snug but customer service was amazing. I received a larger shirt with absolutely no problems in a prompt manner. I will be ordering again. Thanks guys,0
"I've been looking forward to this shirt, and I got it, and I'm so happy it fits!",1
I love my hoodies. I ordered 2. The quality of the hoodie and the artwork is excellany. I have already ordered 2 tee shirts for my daughters. Thank you.You have my business.,0
This was my first purchase. I will ALWAYS purchase tees from y���������all. Your customer service is impeccable and quality and price of shirts are wonderful. Thank you for a,0
"I had ordered at 3X Women's t-shirt, in this pattern, a few weeks ago.It came, and I tried it on---and it was easily TWO SIZES TOO SMALL FOR ME!So...I thought a bit, then ordered a MEN'S 3X-----and--BINGO!It fits perfectly!In fact, there are about EIGHT INCHES DIFFERENCE between the Men's and the Women's size 3X!This is not logical, nor does it conform to the common definition of women's sizes.I would suggest you get your act together...thank you!~Doris",0
So in love with my new shirt!! Thanks so so much:),0
"I ordered 3 tshirts, one tank and one long sleeve tee shirt with the 65 GTO design from TeePublic last year. My husband couldn't have been happier. This year I ordered another T for my step son of a VW and a GTO sweatshirt.The L seemed a little small and I emailed the company. Not only did I get an immediate response they handled the exchange promptly and professionally. Not only is the artwork and product amazing the customer service was impeccable. Thank you!",0
All items were received on time in good condition. Thanks!,0
I received my 2nd shirt today as the first one was way to small. Very happy with it and thankyou!,1
"The shirt is perfect size, love the fabric quality and I���������m really excited to wear it!Thank you so much it",0
The sweatshirts I ordered turned up in good time and look really good.Thank you,0
I ordered shirts for a reasonable price. The shirts arrived quickly. I am enjoying my new shirts. The end.,1
"Both times I have used TeePublic I have been super pleased. The Items arrived much quicker than the other Tshirt places I have used, and the T-shirts are of higher quality. Thanks for a great experience!",0
You all went far beyond what I had expected and did not have to.Thanks a million and I have already ordered new shirts and will continue to do so.,0
Fantastic service so quick and what a great product thank you,0
Exactly as expected ! ����,6
I didn't receive my first order but working with the fantastic customer service they turned a problem into a Win-Win. Thanks Tee Public. I will order again.,0
Awesome tshirts! Love them all and will definitely order again. Arrived promptly and excellent quality. Thanks!,0
"This was my first time purchasing from the website, I got 2 masks. The mask came as pictured, for the most part. One was purple glitter print and it was less than glitz when arrived along with a twisted sewn strap... But I digress. I enjoy the website it has tons of item options and the artwork is legit.",1
I love the quality of graphics and it was a good price..it took a little bit longer to arrive. But it made it in time to give as as gift.Thank u so much.. I definitively give them a good review.,0
exactly what i wanted. Thanks,0
They fixed issue and very happy with service and product,1
Just received my baseball tee qith hello sixty design love it thank you for making this upcoming 60 year old a very happy chick. Much continued success to all thank you again,0
I have ordered several different items from this website and I have not had any issues. I would totally recommend this company to anyone in a heartbeat.,6
Quality products thus far! Their heathered/tri blend shirts are super soft and fit nice. Good communication during these crazy times. I love supporting independent artists so this is my jam. Thanks again!,0
"I would give purchase 2.5/5 stars. The logos were placed too high on the shirts I bought for my 3 year old son. One of the prints was a little fuzzy as well. We will still wear them, just somewhat disappointed after I saw them.",3
Great T-shirt. Thank You Very Much,0
"I ordered now a few times from your side and all the shirts are awesome. Great price, quick delivery,size perfect. Thank you",0
"The shirts came earlier than expected, thank you. My only criticism is on the xl light blue shirt, the outline on the state of NC was hardly visible. It showed up much better on the royal blue shirt.",0
Delivery was on time items I ordered were just as I wanted will be ordering again for yall thanks,0
"I was accidentally sent the wrong shirt and the customer service was great (helpful, kind, and responsive)!They quickly sent out the correct t-shirt and made it right.Thank you!",0
"The adult masks were well made, albeit kind of stuffy to wear, the kids masks I was disappointed with. They were super small and made of polyester. I guess I should have looked at the fabric. They render useless because my one son said he couldn���������t breathe ",3
